#id	type	x	y	width	height	ani_set_id
0 2 0 324 32 32 20
1 2 32 324 32 32 20
2 2 64 324 32 32 20
3 2 96 324 32 32 20
4 2 128 324 32 32 20
5 2 160 324 32 32 20
6 2 192 324 32 32 20
7 2 224 324 32 32 20
8 2 256 324 32 32 20
9 2 288 324 32 32 20
10 2 320 324 32 32 20
11 2 352 324 32 32 20
12 2 384 324 32 32 20
13 2 416 324 32 32 20
14 2 448 324 32 32 20
15 2 480 324 32 32 20
16 2 512 324 32 32 20
17 2 544 324 32 32 20
18 2 576 324 32 32 20
19 2 608 324 32 32 20
20 2 640 324 32 32 20
21 2 672 324 32 32 20
22 2 704 324 32 32 20
23 2 736 324 32 32 20
24 2 768 324 32 32 20
25 2 800 324 32 32 20
26 2 832 324 32 32 20
27 2 864 324 32 32 20
28 2 896 324 32 32 20
29 2 928 324 32 32 20
30 2 960 324 32 32 20
31 2 992 324 32 32 20
32 2 1024 324 32 32 20
33 2 1056 324 32 32 20
34 2 1088 324 32 32 20
35 2 1120 324 32 32 20
36 2 1152 324 32 32 20
37 2 1184 324 32 32 20
38 2 1216 324 32 32 20
39 2 1248 324 32 32 20
40 2 1280 324 32 32 20
41 2 1312 324 32 32 20
42 2 1344 324 32 32 20
43 2 1376 324 32 32 20
44 2 1408 324 32 32 20
45 2 1440 324 32 32 20
46 2 1472 324 32 32 20
47 2 1504 324 32 32 20
48 6 160 261 32 32 60
49 7 443 261 32 32 60
50 6 673 261 32 32 60
51 7 943 261 32 32 60
52 6 1201 261 32 32 60
53 4 160 261 32 64 21
54 4 443 261 32 64 21
55 4 673 261 32 64 21
56 4 943 261 32 64 21
57 4 1201 261 32 64 21
58 1 22 258 32 64 1 2
59 50 1374 140 32 180 2
